"site_id","store_domain","store_name","must_path","img_url","favicon","pattern","currency","currency_symbol","return_link","pg_init_sel","price_selector","oos_selector","title_selector","image_selector","pg_append_selector","pg_button_css","pg_popup_css","pw_append_selector","prod_data_sel","pw_button_css","graph_css","active","deals_active","coupon_store_id"
"36","macys.com","macys","^https?:\/\/(?:www\.)?macys\.com",NULL,NULL,"
{""isRemoveQuery"": false, ""splitOn"": ""ID="", ""index"": 1, ""subSplit"": ""&"", ""subIndex"": 0}","$","USD",NULL,".price-red.price-lg.temp-price-heavy span span:nth-child(1)",".price-red.price-lg.temp-price-heavy span span:nth-child(1)",NULL,".product-title",".picture-image.loaded.stylitics-shop-similar",NULL,NULL,NULL,NULL,"{
""title"": "".product-title"",
""price"": "".price-red.price-lg.temp-price-heavy span span:nth-child(1)"",
""imgurl"": "".picture-image.loaded.stylitics-shop-similar.getattr('src')"",
""brand"": "".product-title label a""
}",NULL,NULL,"1","0",NULL
"37","savana.com","savana","^https?:\/\/(?:www\.)?savana\.com",NULL,NULL,"{""isRemoveQuery"": true, ""splitOn"": ""/details/"", ""index"": 1, ""subSplit"": ""-"", ""subIndex"": -1}","₹","INR","https://www.savana.com/details/${PID}",,".NewDetail--price--_2yw2Mv div div span",NULL,".Title--title--FSHPbGu",".ub-image.NewImages_M--image--N0B9kSk img",NULL,NULL,NULL,NULL,"{
  ""title"": "".Title--title--FSHPbGu"",
  ""price"": "".NewDetail--price--_2yw2Mv div div span"",
  ""imgurl"": "".ub-image.NewImages_M--image--N0B9kSk img.getattr('src')"",
  ""all_imgurls"":"".ub-image.NewImages_M--image--N0B9kSk img""
}",NULL,NULL,"1","0",NULL
"38","sheinindia.in","sheinindia","^https?:\/\/(?:www\.)?sheinindia\.in",NULL,NULL,"{""isRemoveQuery"": true, ""splitOn"": ""/p/"", ""index"": 1}","₹","INR","https://www.sheinindia.in/product/p/${PID}",".prod-price-section ",".prod-price-section ",NULL,"h1.prod-name",".image-slick-container img",NULL,NULL,NULL,NULL,"{
  ""title"": ""h1.prod-name"",
  ""price"": "".prod-price-section"",
  ""imgurl"": "".image-slick-container img.getattr('src')"",
  ""all_imgurls"":"".image-slick-container img"",
  ""description"":"".prod-desc""
}",NULL,NULL,"1","0",NULL
"39","shoppersstop.com","shoppersstop","^https?:\/\/(?:www\.)?shoppersstop\.com\/",NULL,NULL,"{""isRemoveQuery"":true,""splitOn"":""shoppersstop.com/"",""index"":1,""subSplit"":""/"",""subIndex"":1}","₹","INR","https://www.shoppersstop.com/p/${PID}","h1.mt-3.w-full",".grow.whitespace-nowrap.text-xl.font-medium.leading-5.text-black",NULL,"h1.mt-3.w-full","img.size-full.object-contain",NULL,NULL,NULL,NULL,"{
 ""title"":""h1.mt-3.w-full"",
 ""price"":"".grow.whitespace-nowrap.text-xl.font-medium.leading-5.text-black"",
 ""imgurl"":""img.size-full.object-contain.getattr('src')"",
 ""all_imgurls"":"".slick-track img"",
 ""description"":"".accordion-border.w-full""
}",NULL,NULL,"1","0",NULL
"40","maxfashion.in","maxfashion","^https?:\/\/(?:www\.)?maxfashion\.in\/in\/en\/",NULL,NULL,"{""isRemoveQuery"":true,""splitOn"":""/p/"",""index"":1}","₹","INR","https://www.maxfashion.in/in/en/product/p/${PID}","h1.MuiTypography-root.MuiTypography-body1","#details-price div:nth-child(2)",NULL,"h1.MuiTypography-root.MuiTypography-body1","#root-prod-images img",NULL,NULL,NULL,NULL,"{
 ""title"":""h1.MuiTypography-root.MuiTypography-body1"",
 ""price"":""#details-price div:nth-child(2)"",
 ""imgurl"":""#root-prod-images img.getattr('src')"",
 ""all_imgurls"":""#root-prod-images img"",
 ""description"":""#details-overview""
}",NULL,NULL,"1","0",NULL
"41","urbanic.com","urbanic","^https?:\/\/(?:in\.)?urbanic\.com\/",NULL,NULL,"{""isRemoveQuery"":true,""splitOn"":""/details/"",""index"":1,""subSplit"":""-"",""subIndex"":-1,""parseInt"":true}","₹","INR","https://in.urbanic.com/details/${PID}",".Title--title--FSHPbGu.urfont",".Price--price--zwo8hKy",NULL,".Title--title--FSHPbGu.urfont",".ub-image.Images_M--image--X9ZYrop img",NULL,NULL,NULL,NULL,"{
 ""title"":"".Title--title--FSHPbGu.urfont"",
 ""price"":"".Price--price--zwo8hKy"",
 ""imgurl"":"".ub-image.Images_M--image--X9ZYrop img.getattr('src')"",
 ""all_imgurls"":"".ub-image.Images_M--image--X9ZYrop img"",
 ""description"":"".AboutProduct--aboutProduct--EC05NEu.AboutProduct--hasMoreInfo--ZluB5CW""
}",NULL,NULL,"1","0",NULL
"42","hm.com","hm","^https?:\/\/(?:www2\.)?hm\.com\/en_in\/",NULL,NULL,"{""isRemoveQuery"":true,""splitOn"":""/en_in/"",""index"":1,""subSplit"":""."",""subIndex"":1,""parseInt"":true}","₹","INR","https://www2.hm.com/en_in/productpage.${PID}.html","h1.a52e1b.a47b6d.cddd82",".b5ac2b.a76e30",NULL,"h1.a52e1b.a47b6d.cddd82",".c07e8f.e88600 img",NULL,NULL,NULL,NULL,"{
 ""title"":""h1.a52e1b.a47b6d.cddd82"",
 ""price"":"".b5ac2b.a76e30"",
 ""imgurl"":"".c07e8f.e88600 img.getattr('src')"",
 ""all_imgurls"":"".c07e8f.e88600 img"",
 ""description"":"".aa2eff.d14bda.cee707""
}",NULL,NULL,"1","0",NULL
"43","zara.com","zara","^https?:\/\/(?:www\.)?zara\.com\/in\/en\/",NULL,NULL,"{""isRemoveQuery"":true,""splitOn"":""."",""index"":2,""subSplit"":""-"",""subIndex"":-1,""parseInt"":false}","₹","INR","https://www.zara.com/in/en/g-${PID}.html","h1.product-detail-info__header-name",".money-amount__main",NULL,"h1.product-detail-info__header-name","img.media-image__image.media__wrapper--media",NULL,NULL,NULL,NULL,"{
 ""title"":""h1.product-detail-info__header-name"",
 ""price"":"".money-amount__main"",
 ""imgurl"":""img.media-image__image.media__wrapper--media.getattr('src')"",
 ""all_imgurls"":""img.media-image__image.media__wrapper--media""
}",NULL,NULL,"1","0",NULL
"44","westside.com","westside","^https?:\/\/(?:www\.)?westside\.com\/",NULL,NULL,"{""isRemoveQuery"":true,""splitOn"":""/products/"",""index"":1}","₹","INR","https://www.westside.com/products/${PID}",".product__title h1","span.price-item.price-item--regular",NULL,".product__title h1",".product__media.media.media--transparent img",NULL,NULL,NULL,NULL,"{
 ""title"":"".product__title h1"",
 ""price"":""span.price-item.price-item--regular"",
 ""imgurl"":"".product__media.media.media--transparent img.getattr('src')"",
 ""all_imgurls"":"".product__media.media.media--transparent img"",
 ""description"":"".accordion__content.rte.pdp-description""
}",NULL,NULL,"1","0",NULL
"45","nike.com","nike","^https?:\/\/(?:www\.)?nike\.com\/in\/",NULL,NULL,"{""isRemoveQuery"":true,""splitOn"":""/t/"",""index"":1,""subSplit"":""/"",""subIndex"":0}","₹","INR","https://www.nike.com/in/t/${PID}","#pdp_product_title","#price-container span",NULL,"#pdp_product_title","img.css-17pzig5",NULL,NULL,NULL,NULL,"{
 ""title"":""#pdp_product_title"",
 ""price"":""#price-container span"",
 ""imgurl"":""img.css-17pzig5.getattr('src')"",
 ""all_imgurls"":"".css-1wg28dk img"",
 ""description"":""#product-description-container""
}",NULL,NULL,"1","0",NULL
"46","puma.com","puma","^https?:\/\/(?:in\.)?puma\.com\/in\/en\/",NULL,NULL,"{""isRemoveQuery"":true,""splitOn"":""/pd/"",""index"":1,""subSplit"":""/"",""subIndex"":-1}","₹","INR","https://in.puma.com/in/en/pd/product/${PID}","#pdp-product-title",".whitespace-nowrap.text-base.text-red.font-bold",NULL,"#pdp-product-title","#product-gallery .w-full.bg-neutral-0.aspect-1-1",NULL,NULL,NULL,NULL,"{
 ""title"":""#pdp-product-title"",
 ""price"":"".whitespace-nowrap.text-base.text-red.font-bold"",
 ""imgurl"":""#product-gallery .w-full.bg-neutral-0.aspect-1-1.getattr('src')"",
 ""all_imgurls"":""#product-gallery .w-full.bg-neutral-0.aspect-1-1"",
 ""description"":"".tw-1rgvuf0.tw-1igwn51.tw-dynr3h.tw-l8cie8.pb-4""
}",NULL,NULL,"1","0",NULL
"47","realme.com","realme","^https?:\/\/(?:www\.)?buy\.realme\.com\/in\/",NULL,NULL,"{""isRemoveQuery"":true,""splitOn"":""/goods/"",""index"":1}","₹","INR",NULL,".goods-title","span.real-price",NULL,".goods-title",".swiper-slide img",NULL,NULL,NULL,NULL,"{
 ""title"":"".goods-title"",
 ""price"":""span.real-price"",
 ""imgurl"":"".swiper-slide img.getattr('src')"",
 ""all_imgurls"":"".swiper-slide img""
}",NULL,NULL,"1","0",NULL
"48","acer.com","acer","^https?:\/\/(?:store\.)?acer\.com\/en-in\/",NULL,NULL,"{""isRemoveQuery"":true,""splitOn"":""/"",""index"":-1}","₹","INR",NULL,".page-title","#product-price-80705",NULL,".page-title",".fotorama__stage__frame.fotorama__fade-rear img",NULL,NULL,NULL,NULL,"{
 ""title"":"".page-title"",
 ""price"":""#product-price-80705"",
 ""imgurl"":"".fotorama__stage__frame.fotorama__fade-rear img.getattr('src')"",
 ""description"":"".value.mf-initial ul""
}",NULL,NULL,"1","0",NULL
"49","dell.com","dell","^https?:\/\/(?:www\.)?dell\.com\/en-in\/",NULL,NULL,"{""isRemoveQuery"":true,""splitOn"":""/spd/"",""index"":1,""subSplit"":""/"",""subIndex"":0}","₹","INR",NULL,"#page-title",".mr-5 .h3.font-weight-bold.mb-1.text-nowrap.sale-price",NULL,"#page-title","#mgal-img-1 img",NULL,NULL,NULL,NULL,"{
 ""title"":""#page-title"",
 ""price"":"".mr-5 .h3.font-weight-bold.mb-1.text-nowrap.sale-price"",
 ""imgurl"":""#mgal-img-1 img.getattr('src')"",
 ""description"":""#tech-spec-container""
}",NULL,NULL,"1","0",NULL
"50","lenovo.com","lenovo","^https?:\/\/(?:www\.)?lenovo\.com\/in\/en\/",NULL,NULL,"{""isRemoveQuery"":true,""splitOn"":""/p/"",""index"":1,""subSplit"":""/"",""subIndex"":-1}","₹","INR",NULL,".product_summary",".price-box p.final-price",NULL,".product_summary",".gallery-container li img",NULL,NULL,NULL,NULL,"{
 ""title"":"".product_summary"",
 ""price"":"".price-box p.final-price"",
 ""imgurl"":"".gallery-container li img.getattr('src')"",
 ""description"":"".anotherSection""
}",NULL,NULL,"1","0",NULL
"51","boat-lifestyle.com","boat","^https?:\/\/(?:www\.)?boat-lifestyle\.com\/",NULL,NULL,"{""isRemoveQuery"":true,""splitOn"":""/products/"",""index"":1}","₹","INR",NULL,".product-heading-container h1.product-meta__title.heading.h3",".price.price--highlight.price--large",NULL,".product-heading-container h1.product-meta__title.heading.h3",".product__media-item.item img[fetchpriority=""high""]",NULL,NULL,NULL,NULL,"{
 ""title"":"".product-heading-container h1.product-meta__title.heading.h3"",
 ""price"":"".price.price--highlight.price--large"",
 ""imgurl"":"".product__media-item.item img[fetchpriority=""high""].getattr('src')"",
 ""all_imgurls"":"".product__media-item.item img""
}",NULL,NULL,"0","0",NULL
"52","gonoise.com","noise","^https?:\/\/(?:www\.)?gonoise\.com\/",NULL,NULL,"{""isRemoveQuery"":true,""splitOn"":""/products/"",""index"":1}","₹","INR",NULL,"h1.product-title",".product-actual-price",NULL,"h1.product-title",".image.keen-slider__slide img",NULL,NULL,NULL,NULL,"{
 ""title"":""h1.product-title"",
 ""price"":"".product-actual-price"",
 ""imgurl"":"".image.keen-slider__slide img.getattr('src')"",
 ""all_imgurls"":"".image.keen-slider__slide img""
}",NULL,NULL,"1","0",NULL
